"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name","status"
1193.77489571521,0.104817386986815,0.102576844978255,0.255164817884179,0.506062502695384,"ENSG00000164307.13","ERAP1","not_deg"
20.5992355686451,-0.13237622262797,0.232646490566916,0.255194421646932,0.506062502695384,"ENSG00000241764.4","AC002467.1","not_deg"
0.843549013000184,-0.0319069730944104,0.235503911056962,0.255252401621033,NA,"ENSG00000229057.1","RPS3AP54","not_deg"
0.843549013000184,-0.0319069730944104,0.235503911056962,0.255252401621033,NA,"ENSG00000242540.3","AC010729.2","not_deg"
0.714698523326238,-0.0242931813778974,0.235208652050181,0.25526233997009,NA,"ENSG00000128604.20","IRF5","not_deg"
0.714698523326238,-0.0242931813778974,0.235208652050181,0.25526233997009,NA,"ENSG00000273249.1","BX649632.1","not_deg"
1666.8000248937,0.0883253470671366,0.0829038134953669,0.255399052718448,0.506318864747077,"ENSG00000012061.16","ERCC1","not_deg"
136.449914040187,0.144597367805608,0.186932758455479,0.255404353686477,0.506318864747077,"ENSG00000088836.14","SLC4A11","not_deg"
1846.47153089476,-0.102446020961216,0.0999242895581596,0.255413254335004,0.506318864747077,"ENSG00000178567.8","EPM2AIP1","not_deg"
1647.69465200953,0.13501335600746,0.151344347855107,0.255492805527951,0.506417374612547,"ENSG00000112695.11","COX7A2","not_deg"
0.647948708496875,0.0236815276033315,0.23512758020887,0.255586696669815,NA,"ENSG00000256079.1","FAM133GP","not_deg"
218.422276008778,-0.128649689703502,0.139490746522114,0.255589337374729,0.506549515215328,"ENSG00000102048.16","ASB9","not_deg"
0.970788968673809,-0.0277325371721944,0.235090970160601,0.255611949852544,NA,"ENSG00000225330.1","AF064860.1","not_deg"
315.372749281619,-0.124532716526006,0.131886290908321,0.255732631944207,0.506774292604941,"ENSG00000243667.7","WDR92","not_deg"
1.89462314970815,-0.0524681589187202,0.237690492381165,0.255743410415261,NA,"ENSG00000198580.7","AC073343.1","not_deg"
28.7562834191601,-0.140745335442487,0.220087075225308,0.255790971448109,0.50681986432963,"ENSG00000285596.1","AC017116.2","not_deg"
1000.02887318581,0.140684334187045,0.1657187212978,0.255830852939562,0.50681986432963,"ENSG00000136111.14","TBC1D4","not_deg"
1165.23116161088,0.137926636179115,0.15603202601647,0.255845273179075,0.50681986432963,"ENSG00000158023.10","CFAP251","not_deg"
3.40187938314154,-0.0626283140688651,0.238995556414671,0.255881080746335,NA,"ENSG00000284959.2","AC007262.2","not_deg"
8459.66666441684,-0.133155149112085,0.149354698992025,0.255931635605348,0.50693173788419,"ENSG00000101361.17","NOP56","not_deg"
0.765844462405688,0.030605206688213,0.235338997135269,0.256042415961222,NA,"ENSG00000226816.3","AC005082.1","not_deg"
4.89107609385844,-0.0558046829142312,0.23821783998589,0.256047999142628,0.507103002505618,"ENSG00000077063.11","CTTNBP2","not_deg"
927.852378453564,-0.103962047945194,0.10209421760525,0.256091679570805,0.507130295061345,"ENSG00000122644.13","ARL4A","not_deg"
1220.10859175324,-0.100623262247742,0.0978896897718929,0.256196885807517,0.507279404644093,"ENSG00000162441.12","LZIC","not_deg"
7426.55048399756,0.0675363660555192,0.0618497969876325,0.256278597742323,0.50738196525126,"ENSG00000163902.12","RPN1","not_deg"
1.57660473408557,-0.0423883175457558,0.236512861257369,0.256386391524678,NA,"ENSG00000227060.7","LINC00629","not_deg"
2.34720627057285,0.0448036824688439,0.236695693227626,0.256402507173836,NA,"ENSG00000125895.5","TMEM74B","not_deg"
14.0749574966913,0.101821125216274,0.242636546844076,0.256422844681541,0.507608294659619,"ENSG00000197813.6","AC011450.1","not_deg"
