"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT","GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT","7/201","127/11404",0.00717800356656574,0.138565732988584,0.121705725862072,"SEMA7A/FRZB/GBP1/SEMA3D/FGF13/RTN4R/S1PR3",7
"GOBP_REGULATION_OF_AXONOGENESIS","GOBP_REGULATION_OF_AXONOGENESIS","7/201","127/11404",0.00717800356656574,0.138565732988584,0.121705725862072,"PLXNA2/SEMA7A/SEMA3D/FGF13/MAP6/RTN4R/PLXNC1",7
"GOBP_POSITIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT","6/201","97/11404",0.00728927793173946,0.138565732988584,0.121705725862072,"EDN1/RNF207/CTSS/JPH2/RYR2/HSPA2",6
"GOBP_NEURAL_CREST_CELL_MIGRATION","GOBP_NEURAL_CREST_CELL_MIGRATION","4/201","44/11404",0.00733165108260884,0.138565732988584,0.121705725862072,"EDN1/SEMA7A/KITLG/SEMA3D",4
"GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION","GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION","3/201","23/11404",0.00736652238839273,0.138565732988584,0.121705725862072,"RNF207/SCN5A/KCNJ8",3
"GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION","GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION","16/201","460/11404",0.00737893938789588,0.138565732988584,0.121705725862072,"COL5A2/SOX9/TRPV4/RGS2/SEMA7A/FRZB/RBPMS2/GBP1/RORB/JDP2/SEMA3D/HOPX/FGF13/FOXA1/RTN4R/S1PR3",16
"GOBP_SKIN_DEVELOPMENT","GOBP_SKIN_DEVELOPMENT","8/201","160/11404",0.0073901724260578,0.138565732988584,0.121705725862072,"COL5A2/SOX9/DHCR24/LGR5/GLI2/TCHH/JUP/FOXE1",8
"GOBP_REGULATION_OF_METAL_ION_TRANSPORT","GOBP_REGULATION_OF_METAL_ION_TRANSPORT","10/201","230/11404",0.00759891345735579,0.141339790306818,0.124142249324381,"ADORA1/RNF207/FGF13/CD33/SCN5A/SPINK1/JPH2/FHL1/RYR2/HSPA2",10
"GOBP_MUSCLE_CELL_DIFFERENTIATION","GOBP_MUSCLE_CELL_DIFFERENTIATION","11/201","267/11404",0.00771932393916241,0.141970544345382,0.124696256267138,"SOX9/UCHL1/EDN1/LOX/ANKRD1/RGS2/ALPK2/RBPMS2/HOPX/PGM5/TTN",11
"GOBP_MESENCHYMAL_CELL_DEVELOPMENT","GOBP_MESENCHYMAL_CELL_DEVELOPMENT","5/201","70/11404",0.00775611379534302,0.141970544345382,0.124696256267138,"SOX9/EDN1/SEMA7A/KITLG/SEMA3D",5
"GOBP_ANION_TRANSPORT","GOBP_ANION_TRANSPORT","12/201","305/11404",0.00782410947435465,0.141970544345382,0.124696256267138,"SV2A/GABRB2/MGST1/ABCC9/EDN1/RGS2/ADORA1/GABRA6/CLCA3P/ATP8B1/SLC25A32/APBA1",12
"GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM","GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM","4/201","45/11404",0.0079381379633977,0.141970544345382,0.124696256267138,"SOX9/AR/FGF1/RNF207",4
"GOBP_SENSORY_PERCEPTION_OF_PAIN","GOBP_SENSORY_PERCEPTION_OF_PAIN","4/201","45/11404",0.0079381379633977,0.141970544345382,0.124696256267138,"UCHL1/EDN1/ADORA1/MGLL",4
"GOBP_SYNAPSE_ASSEMBLY","GOBP_SYNAPSE_ASSEMBLY","7/201","130/11404",0.0081216857388889,0.143134947269475,0.125718980284224,"GABRB2/GPC4/ST8SIA2/IGFN1/ADGRL3/FGF13/CLSTN2",7
"GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS","3/201","24/11404",0.00831106145435659,0.143134947269475,0.125718980284224,"SHMT2/ALDH1L2/SLC25A32",3
"GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS","GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS","3/201","24/11404",0.00831106145435659,0.143134947269475,0.125718980284224,"PCYT1B/SLC44A5/RAB38",3
"GOBP_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION","GOBP_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION","3/201","24/11404",0.00831106145435659,0.143134947269475,0.125718980284224,"TRPV4/EDN1/RGS2",3
"GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL","GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL","3/201","24/11404",0.00831106145435659,0.143134947269475,0.125718980284224,"FGF13/RYR2/JUP",3
"GOBP_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_JUNCTION_ASSEMBLY","12/201","308/11404",0.00842527992834191,0.144035116422022,0.126509621215041,"GPM6B/GABRB2/GPC4/ST8SIA2/TRPV4/IGFN1/ADGRL3/CORO2B/FGF13/CLSTN2/ARHGAP6/JUP",12
"GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION","GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION","8/201","164/11404",0.00852432125437284,0.14466457603224,0.127062491229222,"GPM6B/ST6GAL1/GBP1/CORO2B/CCDC80/ARHGAP6/JUP/ABI3BP",8
"GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION","7/201","132/11404",0.00879970878802022,0.147279569130157,0.129359304634977,"SOX9/AR/FGF1/STAT5A/SCN5A/SPINK1/AGTR1",7
"GOBP_DEVELOPMENTAL_GROWTH","GOBP_DEVELOPMENTAL_GROWTH","16/201","469/11404",0.00880510112219003,0.147279569130157,0.129359304634977,"SOX9/ST8SIA2/AR/EDN1/RGS2/SEMA7A/FGF1/IGFBP1/SEMA3D/STAT5A/HOPX/FGF13/GLI2/COBL/RTN4R/APBA1",16
"GOBP_CALCIUM_ION_TRANSPORT","GOBP_CALCIUM_ION_TRANSPORT","10/201","236/11404",0.00902890929195323,0.149498136983682,0.131307927899646,"TRPV4/EDN1/MCOLN3/GRIN2B/CD33/CLCA3P/SPINK1/JPH2/RYR2/HSPA2",10
"GOBP_REGULATION_OF_PROTEIN_SECRETION","GOBP_REGULATION_OF_PROTEIN_SECRETION","8/201","166/11404",0.0091380682945959,0.149498136983682,0.131307927899646,"UCP2/AACS/ANKRD1/EPHA5/MYH10/CD33/ADTRP/TTN",8
"GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT","7/201","133/11404",0.00915390350404191,0.149498136983682,0.131307927899646,"EDN1/RNF207/CTSS/JPH2/RYR2/TERT/HSPA2",7
"GOBP_RESPONSE_TO_ETHANOL","GOBP_RESPONSE_TO_ETHANOL","5/201","73/11404",0.00922805697968191,0.149498136983682,0.131307927899646,"ST6GAL1/RGS2/GRIN2B/MGMT/SPINK1",5
"GOBP_DEVELOPMENTAL_INDUCTION","GOBP_DEVELOPMENTAL_INDUCTION","3/201","25/11404",0.00932353972586401,0.149498136983682,0.131307927899646,"SOX9/AR/FGF1",3
"GOBP_SODIUM_ION_HOMEOSTASIS","GOBP_SODIUM_ION_HOMEOSTASIS","3/201","25/11404",0.00932353972586401,0.149498136983682,0.131307927899646,"EDN1/ADORA1/AGTR1",3
"GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS","GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS","7/201","134/11404",0.00951844729360604,0.151578013408452,0.133134735036739,"HSPA1A/UCP2/TRPV4/DNAJA4/FGF1/ADORA1/HSPA2",7
"GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION","GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION","10/201","239/11404",0.00981717525586692,0.155271649455038,0.136378947342512,"UCP2/FBN2/RAB15/AACS/ANKRD1/EPHA5/MYH10/CD33/ADTRP/TTN",10
"GOBP_HEART_DEVELOPMENT","GOBP_HEART_DEVELOPMENT","15/201","434/11404",0.00989389721767216,0.15542777723708,0.136516078252375,"RPS6KA2/SOX9/EDN1/LOX/ANKRD1/RGS2/ALPK2/RNF207/HOPX/SCN5A/KCNJ8/JPH2/GLI2/RYR2/TTN",15
"GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT","3/201","26/11404",0.0104049100183674,0.161276105284694,0.141652810074616,"ADORA1/RNF207/FHL1",3
"GOBP_SARCOMERE_ORGANIZATION","GOBP_SARCOMERE_ORGANIZATION","3/201","26/11404",0.0104049100183674,0.161276105284694,0.141652810074616,"EDN1/ANKRD1/TTN",3
"GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY","GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY","6/201","105/11404",0.0105817560336125,0.162509817322904,0.142736410008572,"DAPK1/EDN1/RNF207/CTSS/FGF13/JPH2",6
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE","4/201","49/11404",0.0106909844466964,0.162509817322904,0.142736410008572,"SEMA7A/INAVA/NLRP3/IL1R1",4
"GOBP_GLAND_DEVELOPMENT","GOBP_GLAND_DEVELOPMENT","12/201","318/11404",0.0106941944302814,0.162509817322904,0.142736410008572,"UCP2/SOX9/AR/EDN1/FGF1/FRZB/STAT5A/FOXA1/MGMT/GLI2/COBL/FOXE1",12
"GOBP_EPITHELIAL_TUBE_MORPHOGENESIS","GOBP_EPITHELIAL_TUBE_MORPHOGENESIS","10/201","243/11404",0.0109487889214639,0.165298274301321,0.14518558105017,"SOX9/AR/EDN1/FGF1/RNF207/FOXA1/LGR5/GLI2/RYR2/COBL",10
"GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION","6/201","106/11404",0.0110568296000097,0.165852444000146,0.145672322064644,"LPAR4/ARHGAP6/GPR174/AGTR1/MCF2L/RTN4R",6
"GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY","GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY","3/201","27/11404",0.0115560083243998,0.170048856672339,0.149358135571856,"CORO2B/ARHGAP6/CGNL1",3
"GOBP_ONE_CARBON_METABOLIC_PROCESS","GOBP_ONE_CARBON_METABOLIC_PROCESS","3/201","27/11404",0.0115560083243998,0.170048856672339,0.149358135571856,"SHMT2/CA12/ALDH1L2",3
"GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION","GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION","3/201","27/11404",0.0115560083243998,0.170048856672339,0.149358135571856,"TRPV4/FGF13/NAV3",3
"GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION","11/201","284/11404",0.0119228504916572,0.171721525381806,0.15082728205578,"RAB15/DHCR24/RALGPS2/SPRY3/KITLG/LPAR4/ARHGAP6/GPR174/AGTR1/MCF2L/RTN4R",11
"GOBP_REGULATION_OF_HORMONE_SECRETION","GOBP_REGULATION_OF_HORMONE_SECRETION","7/201","140/11404",0.0119324902938193,0.171721525381806,0.15082728205578,"UCP2/EDN1/AACS/EPHA5/ADORA1/SPINK1/AGTR1",7
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS","9/201","210/11404",0.012106590934527,0.171721525381806,0.15082728205578,"UCP2/RAB15/EDN1/CPEB1/IGFBP1/STAT5A/SPINK1/AGTR1/IRS4",9
"GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS","GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS","9/201","210/11404",0.012106590934527,0.171721525381806,0.15082728205578,"SOX9/FBN2/LRIG1/EDN1/FRZB/RBPMS2/RNF207/RYR2/FOXE1",9
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","9/201","210/11404",0.012106590934527,0.171721525381806,0.15082728205578,"TRPV4/SEMA7A/NLRP3/TSLP/ADORA1/IL1R1/AGTR1/MGLL/NLRP10",9
"GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS","GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS","4/201","51/11404",0.0122720913132946,0.171721525381806,0.15082728205578,"SEMA7A/SEMA3D/FGF13/RTN4R",4
