"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS","GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS",57,-0.644665270260478,-1.58621519050719,0.0140568935846451,0.323873297602546,0.3076569713475,1406,"tags=25%, list=8%, signal=23%","PPAT/CTPS2/SLC39A8/ASNS/GCLC/AADAT/GCLM/GOT2/GLYATL1/RIMKLA/CTPS1/DDAH1/GLUL/RIMKLB"
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION",85,0.647702188654711,1.55964978008842,0.014076509516059,0.323873297602546,0.3076569713475,361,"tags=7%, list=2%, signal=7%","HLA-DRB1/CD74/HLA-F/RUNX3/BTN2A2/SFRP1"
"GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS","GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS",395,-0.431292742181066,-1.3282390132449,0.0138912521094243,0.323873297602546,0.3076569713475,2026,"tags=20%, list=12%, signal=18%","TRMT10C/BIN1/RHOA/PRKDC/SLC2A13/CNOT9/EIF4EBP3/EIF4B/DDX1/ZC3H12A/ERBB2/EIF5B/SESN2/HABP4/RTN1/ATXN2/GUF1/ELAVL1/TRAP1/TPR/UHMK1/AARS1/YTHDF2/CLU/RTN3/SAMD4A/SYNCRIP/GLE1/EIF4G2/TMED2/ABCE1/HSPB1/EIF4ENIF1/CDC123/RBM8A/TENT4A/YTHDF1/PDK3/FMR1/NCBP1/GSPT1/PUM3/LARP1/SECISBP2/ORMDL1/EXOSC2/BZW2/PRKCD/YBX1/EXOSC9/ACO1/EIF4A2/DHX9/EPRS1/FASTKD3/EXOSC3/CAPRIN1/MAGOH/RBM24/VIM/CELF1/EIF3D/LARP4B/MAPKAPK5/DPH5/PA2G4/LARP4/PPP1R15B/KBTBD8/HNRNPU/MEX3D/GEMIN5/CCN1/RGS2/CPEB1/ATF4/SHMT2/DAPK1"
"GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION","GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION",24,0.830679748116835,1.71937962450569,0.0143374703029015,0.327988109300397,0.311565754547589,772,"tags=12%, list=5%, signal=12%","HLA-E/HLA-F/STAT5B"
"GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION","GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION",187,0.543747510783849,1.4469375171757,0.0146136350134115,0.332591344561642,0.315938505957965,895,"tags=13%, list=5%, signal=13%","HLA-DRB1/MMP2/CD74/COL1A1/TGFB1/ERBB3/PPARA/RUNX3/BTN2A2/MYADM/SPOCK1/PLXNB3/VEGFA/MELTF/PLXNB2/THBS1/UBASH3B/ADAM22/RDX/MMP14/JAM3/WNK1/HOXA7/ABAT/BCAS3"
"GOBP_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","GOBP_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION",79,0.650805502470867,1.56802307338377,0.0149317643778363,0.338097807698151,0.321169260651099,1344,"tags=27%, list=8%, signal=25%","COL1A1/TGFB1/SMAD3/WWTR1/LOXL2/DAG1/ACVR1/SPRY2/POFUT2/SFRP1/TGFBR1/CTNNB1/CLASP1/TGFB3/TRIM62/IL6/SMAD2/PTEN/MCRIP1/TGFBR2/JAG1"
"GOBP_WOUND_HEALING","GOBP_WOUND_HEALING",284,0.501159063010077,1.41635666578362,0.0151273952791006,0.340788732226641,0.323725450669504,1374,"tags=16%, list=8%, signal=15%","TGFA/WNT5A/COL1A1/PLAT/SERPINB2/TGFB1/SMAD3/ERBB3/ST3GAL4/PPARA/DGKG/DDR1/ACTA2/COL5A1/DAG1/TBXA2R/VEGFA/MYOF/NOTCH2/GATA4/PROS1/SLC7A11/TGFBR1/THBS1/UBASH3B/CD109/TIMP1/CLASP1/TGFB3/IL6/FKBP10/TSKU/CCN4/FIBP/ABAT/C6orf89/DGKI/SMAD2/PTEN/EXT1/PRCP/ITPK1/CHMP2A/TGFBR2/CDKN1A/F12"
"GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION","GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION",74,0.678356988675442,1.62116816697409,0.0152323574635761,0.341420214259347,0.324325314415854,958,"tags=19%, list=6%, signal=18%","HLA-DRB1/CD74/TGFB1/EVI2B/NOTCH2/SFRP1/CTNNBIP1/UBASH3B/FOS/CTNNB1/CSF1/ZBTB46/HOXA7/GPR137"
"GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS",24,-0.804235493323256,-1.73983403499125,0.0156775598925705,0.348837592222547,0.331371304487868,1041,"tags=25%, list=6%, signal=23%","MTRR/MTHFD2/SLC46A1/SLC25A32/ALDH1L2/SHMT2"
"GOBP_NUCLEOSOME_MOBILIZATION","GOBP_NUCLEOSOME_MOBILIZATION",21,-0.807125460266585,-1.71837570268272,0.0159126475946275,0.348837592222547,0.331371304487868,607,"tags=19%, list=4%, signal=18%","INO80C/POLE3/BAZ1A/UCHL5"
