"gene_id","gene_name","ARID2KO1","ARID2KO2","ARID2KO3","ARID2KO4","ARID2NT1","ARID2NT2","ARID2NT3","ARID2NT4"
"ENSG00000287448.1","AC018558.7",13,6,6,4,33,12,6,23
"ENSG00000287449.1","AC108019.2",0,1,1,0,1,0,0,0
"ENSG00000287450.1","AL117352.1",0,0,0,0,0,0,0,0
"ENSG00000287451.1","AC016721.1",0,0,0,0,0,0,0,0
"ENSG00000287452.2","AL391477.1",0,0,0,0,0,0,1,0
"ENSG00000287453.1","AL359894.1",0,0,0,0,0,0,0,0
"ENSG00000287454.1","AC008149.2",0,0,2,1,0,0,0,1
"ENSG00000287455.1","AC092793.1",0,0,0,0,0,0,0,0
"ENSG00000287456.1","AL157369.1",0,0,0,0,0,0,0,0
"ENSG00000287457.1","AC005821.2",0,0,1,1,0,0,0,0
"ENSG00000287458.1","AL033519.5",1.002,0,2.678,0,0,0,0,0
"ENSG00000287459.1","AL512356.5",0,0,0,0,0,0,0,0
"ENSG00000287460.1","AL442636.1",0,0,0,0,0,0,0,0
"ENSG00000287462.1","AC068442.1",0,0,0,0,0,0,0,0
"ENSG00000287463.1","AC110620.2",0,0,1,0,0,0,0,0
"ENSG00000287464.1","AC100810.7",0,0,0,0,0,0,0,0
"ENSG00000287465.1","AL358053.1",0,0,0,0,0,0,0,0
"ENSG00000287466.1","AL355531.1",0,0,0,0,0,0,0,0
"ENSG00000287467.1","AC037459.4",0,0,2,0,0,0,2,0
"ENSG00000287468.1","AC007317.2",0,0,0,0,0,0,0,0
"ENSG00000287469.1","AC044798.3",0,0,0,0,1,0,0,0
"ENSG00000287470.1","AP001037.1",0,0,0,0,0,0,0,0
"ENSG00000287471.1","AC138854.1",0,0,0,0,0,0,0,0
"ENSG00000287472.1","AL591504.2",0,0,0,0,0,0,0,0
"ENSG00000287473.1","AL359382.2",0,0,0,0,0,0,0,0
"ENSG00000287474.1","AC110614.1",0,2,1,0,0,0,0,0
"ENSG00000287475.1","AL844892.2",0,1,0,0,0,0,0,0
"ENSG00000287476.1","AC018437.3",0,0,0,0,0,0,0,0
"ENSG00000287477.1","AL356495.1",1,1,0,0,0,3,0,0
"ENSG00000287478.1","AL109829.1",0,0,0,0,0,0,0,0
"ENSG00000287479.1","AP001330.5",0,0,0,0,0,0,0,0
"ENSG00000287480.1","AL158832.2",0,3,0,5,0,2,0,1
"ENSG00000287481.1","AL161663.1",1,0,0,4,0,4,0,0
"ENSG00000287482.1","AC124312.5",0,0,0,0,0,0,0,0
"ENSG00000287483.1","AL132775.2",0,0,0,0,0,0,0,0
"ENSG00000287484.1","AC068580.5",0,0,0,0,0,0,0,0
"ENSG00000287485.1","AL451166.1",0,0,0,0,0,0,0,0
"ENSG00000287486.1","AC114291.1",0,0,0,0,0,0,0,0
"ENSG00000287487.1","AC104633.1",0,0,0,0,0,0,0,0
"ENSG00000287488.1","AC073048.1",0,0,0,0,0,0,0,0
"ENSG00000287489.1","AC004549.1",0,0,0,0,0,0,0,0
"ENSG00000287490.1","AC015818.9",0,0,0,0,0,4.174,0,0
"ENSG00000287492.1","AL512358.2",1,0,2,0,0,0,1,1
"ENSG00000287493.1","AC069503.5",0,1,0,0,0,0,0,0
"ENSG00000287494.1","AC069368.2",0,0,0,0,0,0,0,0
"ENSG00000287495.1","AL356489.4",0,0,0,0,0,0,0,0
"ENSG00000287496.1","AC093227.3",0,0,0,0,0,0,0,0
"ENSG00000287497.1","AL031123.4",0,0,0,0,0,0,0,0
"ENSG00000287498.1","AC007749.2",0,0,0,3,0,1,0,0
"ENSG00000287499.1","AL357139.2",0,0,0,0,0,0,0,0
"ENSG00000287500.1","AC009754.2",0,0,2,0,0,0,0,0
"ENSG00000287501.1","AL163872.1",0,0,0,0,0,0,0,0
"ENSG00000287502.1","AC092418.2",0,1,2,5,0,1,0,2
"ENSG00000287503.1","AC027243.3",0,0,0,0,0,0,0,0
"ENSG00000287504.1","AC079340.3",0,0,0,0,0,0,0,0
"ENSG00000287505.1","AC087428.1",0,0,0,0,0,0,0,0
"ENSG00000287506.1","AC026620.2",0,0,0,0,0,0,0,0
"ENSG00000287507.1","AP001053.1",0,1,0,0,0,0,3,0
"ENSG00000287508.1","AC009560.4",0,0,0,0,0,0,0,0
"ENSG00000287509.1","AP001033.3",0,0,0,1,0,0,0,1
"ENSG00000287510.1","AL137857.1",0,0,0,0,0,0,0,0
"ENSG00000287511.1","AL109984.1",0,0,0,0,0,0,0,0
"ENSG00000287512.1","AC019131.3",0,0,0,1,0,0,0,0
"ENSG00000287513.1","AL133390.1",0,3,4,2,1,3,0,1
"ENSG00000287514.2","AL450267.2",0,0,0,0,0,0,0,0
"ENSG00000287515.1","AL929602.1",0,0,0,0,0,0,0,0
"ENSG00000287516.1","AL359764.2",0,1,2,2,2,2,5,2
"ENSG00000287517.1","AC099654.12",0,0,0,0,0,0,0,0
"ENSG00000287518.1","AC100778.4",0,0,0,0,0,0,0,0
"ENSG00000287519.1","AC004921.2",0,0,0,1,0,0,0,2.007
"ENSG00000287520.1","AC093765.4",0,0,0,0,0,0,0,0
"ENSG00000287521.1","AC034148.1",0,0,0,0,0,0,0,0
"ENSG00000287522.1","AC138420.1",0,0,0,0,0,0,0,0
"ENSG00000287523.1","AC003044.1",0,0,0,0,0,0,0,0
"ENSG00000287524.1","AC007736.1",0,0,0,0,0,0,0,0
"ENSG00000287525.1","AL627308.3",0,0,0,0,0,0,0,0
"ENSG00000287526.1","AC016587.1",0,0,0,0,1,1,0,1
"ENSG00000287527.1","AC005753.3",0,0,0,0,0,0,0,0
"ENSG00000287528.1","AL121749.2",2,1,2,1,7,2,1,6
"ENSG00000287529.1","AC068946.3",0,0,0,0,0,0,0,0
"ENSG00000287530.1","AL445985.2",0,0,0,0,0,0,0,0
"ENSG00000287531.1","AL358177.1",0,0,0,0,0,0,0,0
"ENSG00000287532.1","AL353689.3",0,0,0,0,0,0,0,0
"ENSG00000287533.1","AC011477.8",0,0,0,0,0,0,0,0
"ENSG00000287534.1","AC110792.4",0,0,1,0,0,0,0,0
"ENSG00000287535.1","AC009630.4",1,0,2,0,0,0,1,1
"ENSG00000287536.1","AC012500.1",0,0,0,0,0,0,0,0
"ENSG00000287537.1","AC020612.4",0,0,0,0,0,0,0,0
"ENSG00000287538.1","AC109635.6",1,0,1,0,0,0,0,1
"ENSG00000287539.1","AC022966.2",11,7,5,10,5,9,6,7
"ENSG00000287540.1","AC116350.1",0,0,0,0,0,0,0,0
"ENSG00000287541.1","AC092610.1",0,0,0,0,0,0,0,0
"ENSG00000287542.1","AC098582.1",74.054,25.965,7.178,178.731,9.72,59.277,65.182,59.415
"ENSG00000287543.1","AC013486.1",0,0,0,0,0,0,0,0
"ENSG00000287544.1","AC097518.2",0,0,1,0,0,0,0,1
"ENSG00000287545.1","AP001994.2",0,0,0,0,0,0,0,0
"ENSG00000287546.1","AL163534.1",0,0,0,0,0,0,0,0
"ENSG00000287547.1","AC234644.2",0,0,0,0,0,0,0,0
"ENSG00000287548.1","AC021269.3",1,0,1,0,1,3,3,0
"ENSG00000287549.1","AC092268.1",0,0,0,0,0,0,0,0
"ENSG00000287550.1","AL450345.2",9.019,4.006,16.004,14,3,28.001,3,5
"ENSG00000287551.1","AL445526.1",0,0,0,0,0,0,0,0
"ENSG00000287552.1","AC109925.1",0,0,0,0,0,0,0,0
"ENSG00000287553.1","AC090617.10",2,1,0,5,2,0,1,0
"ENSG00000287554.1","AC006364.1",0,0,0,0,0,0,1,0
"ENSG00000287555.1","AC023424.2",0,0,0,0,0,0,0,0
"ENSG00000287556.1","AP003973.4",0,0,0,0,0,0,0,0
"ENSG00000287557.1","AL713998.4",0,0,0,0,0,0,0,0
"ENSG00000287558.1","AL109933.5",0,1,0,0,0,0,0,0
"ENSG00000287559.1","AL136305.1",0,0,1,0,0,0,0,0
"ENSG00000287560.1","AL731533.3",0,0,0,0,0,0,0,0
"ENSG00000287561.1","AL121899.4",0,0,0,0,0,0,0,0
"ENSG00000287562.1","AL109615.4",77,65,82,60,76,69,76,101
"ENSG00000287563.1","AP006219.3",0,0,0,0,0,0,0,0
"ENSG00000287564.1","AL359546.1",0,0,0,0,0,0,0,0
"ENSG00000287565.1","AC108168.1",0,0,0,0,0,0,0,0
"ENSG00000287566.1","AL732437.3",1,1,3,1,1,1,2,1
"ENSG00000287567.1","AC133040.1",1,0,0,0,0,0,0,0
"ENSG00000287568.1","AC002057.1",0,0,0,0,0,0,0,0
"ENSG00000287569.1","AL078587.2",0,0,0,0,0,0,0,0
"ENSG00000287570.1","AL035447.1",0,0,0,0,0,0,0,0
"ENSG00000287571.1","AC108046.1",0,0,0,0,0,0,0,0
"ENSG00000287574.1","AC004938.2",6,14,8,6,12,9,8,11
"ENSG00000287575.1","AL390755.3",0,0,2,0,0,2,0,0
"ENSG00000287576.1","AC067930.9",4,9,4,15,3.003,4,2.066,8
"ENSG00000287577.1","AC009533.4",0,0,0,0,0,0,0,0
"ENSG00000287578.1","AL034348.1",0,0,0,0,0,2,0,0
"ENSG00000287579.1","AC139491.8",0,1,1,2,0,0,1,1
"ENSG00000287580.1","AC073349.4",0,0,0,0,0,0,0,0
"ENSG00000287581.1","AC016549.1",0,0,0,0,0,0,0,0
"ENSG00000287582.1","AC099796.2",0,0,0,0,0,0,0,0
"ENSG00000287583.1","AC018685.3",0,0,0,0,0,0,0,0
"ENSG00000287584.1","AC004837.4",5,4,5,10,7,3,8,7
